"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","germplasmEntryNumber","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Crown rust severity - percent|day 180|COMP:0000091","Grain weight - g|CO_350:0005123","Grain yield - g/m2|CO_350:0000260","Heading date - Julian day|CO_350:0000270","Pea grain weight - g|COMP:0000009","Pea grain yield - g/m2|COMP:0000049","Plant height - cm|CO_350:0000232","notes","SpringOatPeaIntercrop_2024_SD_AUSTRIAN FIELD PEAS","SpringOatPeaIntercrop_2024_SD_DS Admiral","SpringOatPeaIntercrop_2024_SD_Frostmaster Peas","SpringOatPeaIntercrop_2024_SD_Icicle Winter Peas","SpringOatPeaIntercrop_2024_SD_Maxum","SpringOatPeaIntercrop_2024_SD_ND Dawn","SpringOatPeaIntercrop_2024_SD_ND Victory","SpringOatPeaIntercrop_2024_SD_NDP140510Y","SpringOatPeaIntercrop_2024_SD_NDP150231Y","SpringOatPeaIntercrop_2024_SD_NDP150412G","SpringOatPeaIntercrop_2024_SD_Organic 4010","SpringOatPeaIntercrop_2024_SD_delta field pea"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","85606","NATTY","Natty,NATTY (ck),SD111779","","plot","728426","SpringOatPeaIntercrop_2024_SD_101","1","1","101","1","1","test","","50","757","272","165","37","13","45","","","","","","","1","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","85606","NATTY","Natty,NATTY (ck),SD111779","","plot","728418","SpringOatPeaIntercrop_2024_SD_102","1","1","102","1","2","test","","35","1003","360","165","0","0","46","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","201753","IL15-5752","","","plot","728396","SpringOatPeaIntercrop_2024_SD_103","1","1","103","1","3","test","","15","628","225","163","55","20","38","","","","","","","1","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","201461","WI_X10710-7","WI X10710-7,WIX10710-7,X10710-7","","plot","728374","SpringOatPeaIntercrop_2024_SD_104","1","1","104","1","4","test","","0","608","218","168","39","14","37","","","","","","","","1","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","101253","GOLIATH","Goliath","","plot","728400","SpringOatPeaIntercrop_2024_SD_105","1","1","105","1","5","test","","50","691","248","170","29","10","45","","","","","","","","","","","1","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510811","ND170307","ND170307","","plot","728450","SpringOatPeaIntercrop_2024_SD_106","1","1","106","1","6","test","","50","502","180","173","25","9","42","","","","","","","","","","","1","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510806","SD180580","SD180580","","plot","728466","SpringOatPeaIntercrop_2024_SD_107","1","1","107","1","7","test","","35","589","211","169","41","15","40","","","","1","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510819","MN18038X_008","MN-18038X-008,MN18038X-008,MN18038X008","","plot","728436","SpringOatPeaIntercrop_2024_SD_108","1","1","108","2","7","test","","0","866","311","171","17","6","41","","","","","","","","","","1","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","97970","ESKER","Esker,WI X8179-2,WIX8179-2","","plot","728462","SpringOatPeaIntercrop_2024_SD_109","1","1","109","2","6","test","","35","792","284","165","54","19","39","","","","","","","","","","","","1",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","102120","WARRIOR","SD120419","","plot","728388","SpringOatPeaIntercrop_2024_SD_110","1","1","110","2","5","test","","35","909","326","168","63","23","41","","","","","","","1","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510804","SD181245","SD181245","","plot","728441","SpringOatPeaIntercrop_2024_SD_111","1","1","111","2","4","test","","0","1337","480","169","2","1","52","","","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510804","SD181245","SD181245","","plot","728452","SpringOatPeaIntercrop_2024_SD_112","1","1","112","2","3","check","","0","1447","519","169","31","11","51","","","","","1","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","202026","IL17-1704","","","plot","728376","SpringOatPeaIntercrop_2024_SD_113","1","1","113","2","2","test","","5","1126","404","166","51","18","40","","","","","","","","","1","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","531128","OT3120","","","plot","728404","SpringOatPeaIntercrop_2024_SD_114","1","1","114","2","1","test","","55","493","177","170","26","9","43","","1","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","88062","CORRAL","Corral,CV-378,IL00-7267,IL007267","","plot","728399","SpringOatPeaIntercrop_2024_SD_115","1","1","115","3","1","test","","60","672","241","167","43","15","38","","","","","","1","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510800","SD170935","SD170935","","plot","728416","SpringOatPeaIntercrop_2024_SD_116","1","1","116","3","2","test","","5","1484","532","171","34","12","49","","1","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510822","MN18015X_004","MN-18015X-004,MN18015X-004,MN18015X004","","plot","728471","SpringOatPeaIntercrop_2024_SD_117","1","1","117","3","3","test","","20","116","42","163","66","24","36","","","","","","","","","","","","","1"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510812","SADDLE","Saddle,SD120296","","plot","728475","SpringOatPeaIntercrop_2024_SD_118","1","1","118","3","4","test","","30","1063","381","163","44","16","42","","","","","","","","","","1","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510820","ND170376","ND170376","","plot","728420","SpringOatPeaIntercrop_2024_SD_119","1","1","119","3","5","test","","0","1169","419","174","42","15","47","","1","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","202106","IL17-5238","17-5238","","plot","728389","SpringOatPeaIntercrop_2024_SD_120","1","1","120","3","6","test","","50","758","272","163","17","6","37","","","","","1","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","99318","DEON","","","plot","728447","SpringOatPeaIntercrop_2024_SD_121","1","1","121","3","7","test","","35","691","248","174","43","15","41","","","","1","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","97939","SABER","CV-377,IL02-8658","","plot","728463","SpringOatPeaIntercrop_2024_SD_122","1","1","122","4","7","test","","50","659","236","164","29","10","35","","","","","1","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","100173","BUCKSKIN","Buckskin,IL 99-1338,IL99-1338","","plot","728378","SpringOatPeaIntercrop_2024_SD_123","1","1","123","4","6","test","","55","739","265","163","53","19","38","","","1","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","97779","OGLE","03C0700697,IL 73-2664,IL73-2664,Illinois 73-2664,Ogle,OGLE (ck),RL 1475,TLVA5829,TLVA5908,W87678","","plot","728402","SpringOatPeaIntercrop_2024_SD_124","1","1","124","4","5","test","","50","1127","404","165","38","14","42","","","","","","","","","","","","","1"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","499632","A11","A11","","plot","728408","SpringOatPeaIntercrop_2024_SD_125","1","1","125","4","4","test","","40","705","253","166","28","10","32","","","1","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","102429","GOPHER","03C0700851,AA 568,BGR8099,CAP 0038,C.I. No. 2027,Copher,Favorit,GOPH,Gopher,GOPHER (ck),Gopher Oats,Minnesota No. 674,Mn 674,RL 158,RL 1793,RL 834,RL No. 158","","plot","728427","SpringOatPeaIntercrop_2024_SD_126","1","1","126","4","3","test","","60","725","260","169","44","16","42","","","","","","","","","1","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","201479","WI_X10680-3","WI X10680-3,WIX10680-3,X10680-3","","plot","728470","SpringOatPeaIntercrop_2024_SD_127","1","1","127","4","2","test","","10","1341","481","175","92","33","42","","","","","","","","1","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","499632","A11","A11","","plot","728467","SpringOatPeaIntercrop_2024_SD_128","1","2","128","4","1","test","","40","732","263","166","57","20","34","","","","","","","","","","1","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","85417","REINS","IL06-5433,Reins","","plot","728424","SpringOatPeaIntercrop_2024_SD_129","1","2","129","5","1","test","","40","1048","376","164","49","18","36","","","","","","","","","","","","1",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510817","OT2130","OT2130","","plot","728385","SpringOatPeaIntercrop_2024_SD_130","1","2","130","5","2","test","","50","781","280","172","25","9","41","","","","","","","","","1","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510819","MN18038X_008","MN-18038X-008,MN18038X-008,MN18038X008","","plot","728435","SpringOatPeaIntercrop_2024_SD_131","1","2","131","5","3","test","","0","910","327","171","48","17","44","","1","","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510811","ND170307","ND170307","","plot","728473","SpringOatPeaIntercrop_2024_SD_132","1","2","132","5","4","test","","50","712","255","173","41","15","45","","","","","","","1","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","531140","SD190850","","","plot","728393","SpringOatPeaIntercrop_2024_SD_133","1","2","133","5","5","test","","5","999","358","164","59","21","45","","","","","","1","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","85346","HORSEPOWER","Horsepower,SD081936","","plot","728415","SpringOatPeaIntercrop_2024_SD_134","1","2","134","5","6","test","","60","721","259","164","57","20","38","","","","","","","1","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510819","MN18038X_008","MN-18038X-008,MN18038X-008,MN18038X008","","plot","728428","SpringOatPeaIntercrop_2024_SD_135","1","2","135","5","7","check","","5","878","315","171","67","24","41","","","","","","","","","","","","1",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","531142","SD191467","","","plot","728406","SpringOatPeaIntercrop_2024_SD_136","1","2","136","6","7","test","","5","723","259","166","50","18","42","","","","","","","","1","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","499042","RUSHMORE","Rushmore,SD140515","","plot","728454","SpringOatPeaIntercrop_2024_SD_137","1","2","137","6","6","test","","55","829","297","168","29","10","44","","","1","","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","499610","ND161488","ND161488","","plot","728457","SpringOatPeaIntercrop_2024_SD_138","1","2","138","6","5","test","","0","1002","360","168","63","23","50","","","","","","","","","","","","","1"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","87885","HAYDEN","","","plot","728410","SpringOatPeaIntercrop_2024_SD_139","1","2","139","6","4","test","","50","785","282","169","60","22","43","","","","","","","","","1","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","102429","GOPHER","03C0700851,AA 568,BGR8099,CAP 0038,C.I. No. 2027,Copher,Favorit,GOPH,Gopher,GOPHER (ck),Gopher Oats,Minnesota No. 674,Mn 674,RL 158,RL 1793,RL 834,RL No. 158","","plot","728403","SpringOatPeaIntercrop_2024_SD_140","1","2","140","6","3","test","","60","715","257","168","28","10","42","","","","","","","","","","","","","1"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510809","SD181377","SD181377","","plot","728464","SpringOatPeaIntercrop_2024_SD_141","1","2","141","6","2","test","","0","960","344","168","57","20","41","","","","1","","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","97970","ESKER","Esker,WI X8179-2,WIX8179-2","","plot","728446","SpringOatPeaIntercrop_2024_SD_142","1","2","142","6","1","test","","40","1377","494","166","10","4","43","","","","","1","","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","201413","WI_X10642-3","WI X10642-3,WI-X10642-3,WIX10642-3,X10642-3","","plot","728423","SpringOatPeaIntercrop_2024_SD_143","1","2","143","7","1","test","","20","1385","497","168","34","12","42","","","","","","","","","","","1","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","102599","LEGGETT","01RAT27,LEGGET,Leggett,Leggett (ck),OT2021,RL 1962,W00371","","plot","728387","SpringOatPeaIntercrop_2024_SD_144","1","2","144","7","2","test","","50","734","263","171","31","11","43","","","","","","","","","","","","1",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","98469","COLT","2015,Colt,Colt (RPB 50-75),GBR005 02015,GBR011 2015,POL003 50434,RPB 5075,SD020883-29","","plot","728391","SpringOatPeaIntercrop_2024_SD_145","1","2","145","7","3","test","","45","777","279","164","64","23","40","","","","","","","","","","","1","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510822","MN18015X_004","MN-18015X-004,MN18015X-004,MN18015X004","","plot","728382","SpringOatPeaIntercrop_2024_SD_146","1","2","146","7","4","test","","20","993","356","163","34","12","39","","","","","","","","","","1","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","201753","IL15-5752","","","plot","728434","SpringOatPeaIntercrop_2024_SD_147","1","2","147","7","5","test","","25","840","301","163","62","22","39","","","","","","","","1","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","499634","A10","A10","","plot","728430","SpringOatPeaIntercrop_2024_SD_148","1","2","148","7","6","test","","20","510","183","164","94","34","34","","","","","","1","","","","","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","531141","SD190992","","","plot","728379","SpringOatPeaIntercrop_2024_SD_149","1","2","149","7","7","test","","5","799","287","169","34","12","40","","","","","","","","","","1","","",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6782","SpringOatPeaIntercrop_2024_SD","Spring oat pea intercrop trial, location South Dakota","Augmented","1.524","1.8288","","no","no","","","141","Volga, SD","510812","SADDLE","Saddle,SD120296","","plot","728380","SpringOatPeaIntercrop_2024_SD_150","1","2","150","8","7","test","","20","741","266","164","35","13","37","","","1","","","","","","","","","",""
